date,change,changeOverTime,changePercent,close,high,low,open,unadjustedVolume,volume,vwap
2017-05-18,8.33,0.794686030016666,0.884,950.5,954.18,941.27,943.2,1800465,1800465,948.7133
2017-05-19,4.15,0.802521850137202,0.437,954.65,959.56,952.0,952.82,1360299,1360299,956.3919
2017-05-22,9.42,0.8203082177361051,0.987,964.07,964.82,956.56,957.0,1387392,1387392,962.3373
2017-05-23,6.48,0.8325434260207001,0.672,970.55,974.51,964.5,969.96,1545421,1545421,970.0341
2017-05-24,7.06,0.845873760972744,0.727,977.61,978.115,971.6299,975.26,1142488,1142488,974.9747
2017-05-25,14.25,0.8727798903022941,1.458,991.86,995.78,977.82,979.0,1954149,1954149,989.0613
2017-05-26,1.4100000000000001,0.8754421809938501,0.14200000000000002,993.27,996.39,987.36,992.0,1636416,1636416,992.578
2017-05-30,2.9,0.8809178143310911,0.292,996.17,997.62,991.3601,992.5,1516685,1516685,995.2107
2017-05-31,-9.08,0.863773417537245,-0.911,987.09,999.6,981.68,996.21,1724095,1724095,988.105
2017-06-01,1.2,0.866039196849207,0.122,988.29,993.14,981.29,990.96,1306384,1306384,986.7944
2017-06-02,7.83,0.88082340685976,0.792,996.12,996.48,987.07,988.59,1735469,1735469,993.3484
2017-06-05,7.76,0.8954754464104481,0.779,1003.88,1007.4,995.45,997.89,1378916,1378916,1003.53
2017-06-06,-7.2,0.8818807705386751,-0.717,996.68,1008.61,994.8,1003.31,1552114,1552114,1001.98
2017-06-07,4.91,0.8911515842234541,0.493,1001.59,1003.91,995.81,998.82,1374097,1374097,1000.37
2017-06-08,2.69,0.8962307061811021,0.269,1004.28,1005.6,996.62,1004.23,1687925,1687925,1001.59
2017-06-09,-34.16,0.8317315217672471,-3.401,970.12,1005.5,953.37,1005.49,3647857,3647857,978.0946
2017-06-12,-8.31,0.816041000031909,-0.857,961.81,968.0,936.795,958.72,4202109,4202109,954.0449
2017-06-13,8.69,0.832449018549368,0.904,970.5,977.91,962.01,972.04,2005356,2005356,970.9513
2017-06-14,-2.5700000000000003,0.8275964745229161,-0.265,967.93,979.7,959.5103,975.5,1505486,1505486,971.6706
2017-06-15,-7.75,0.8129633164664941,-0.801,960.18,960.6775,940.37,948.02,2427639,2427639,951.2309
2017-06-16,-1.56,0.8100178033609431,-0.162,958.62,959.95,948.7,957.91,2559207,2559207,956.6377
2017-06-19,16.6,0.841361083843086,1.732,975.22,979.3,968.2,969.65,1468837,1468837,974.8837
2017-06-20,-6.23,0.8295979129151491,-0.639,968.99,980.79,968.2,975.31,1297287,1297287,973.8449
2017-06-21,9.6,0.8477241474108461,0.991,978.59,979.67,969.16,970.79,1161607,1161607,974.7896
2017-06-22,-1.97,0.8440044930403751,-0.201,976.62,980.5,973.3148,976.87,1009476,1009476,977.1658
2017-06-23,9.47,0.8618852681106101,0.97,986.09,986.62,974.46,975.5,1563985,1563985,983.2508
2017-06-26,-14.0,0.835451176137718,-1.42,972.09,993.99,970.33,990.0,1517912,1517912,978.9594
2017-06-27,-24.0,0.7901355898984761,-2.469,948.09,967.22,947.09,961.6,2443602,2443602,955.569
2017-06-28,12.92,0.8145304804906011,1.363,961.01,963.24,936.16,950.66,2745568,2745568,949.4161
2017-06-29,-23.19,0.7707442952869331,-2.4130000000000003,937.82,951.66,929.6,951.35,3206674,3206674,939.2787
2017-06-30,-8.14,0.7553747589541231,-0.868,929.68,944.9995,929.61,943.99,2287662,2287662,934.8308
2017-07-03,-10.22,0.736077871813913,-1.099,919.46,934.24,915.31,933.22,1694811,1694811,923.9729
2017-07-05,12.8,0.760246184474842,1.392,932.26,936.29,918.6305,924.2,2094055,2094055,928.9393
2017-07-06,-4.57,0.7516173415951201,-0.49,927.69,936.14,919.85,925.0,2014855,2014855,927.7327
2017-07-07,13.12,0.7763898620725721,1.4140000000000001,940.81,944.66,929.79,930.985,1663302,1663302,939.0416
2017-07-10,10.19,0.7956301047299841,1.083,951.0,953.13,941.95,941.95,1451460,1451460,949.2025
2017-07-11,2.5300000000000002,0.8004071227793711,0.266,953.53,954.89,945.12,950.52,1461247,1461247,951.1132
2017-07-12,14.13,0.8270866741777251,1.482,967.66,969.63,957.04,960.86,1602115,1602115,964.8902
2017-07-13,1.19,0.82933357199542,0.123,968.85,978.7,964.8,970.8,1524571,1524571,971.8106
2017-07-14,8.06,0.844552056374099,0.8320000000000001,976.91,977.54,970.15,974.0,1079608,1079608,974.6418
2017-07-17,-0.9500000000000001,0.8427583144187961,-0.097,975.96,983.35,970.8,976.32,1660464,1660464,976.9737
2017-07-18,10.99,0.8635090766175161,1.126,986.95,990.85,972.04,973.36,1413335,1413335,984.1547
2017-07-19,5.82,0.874498106280532,0.59,992.77,995.6,987.01,990.01,1412148,1412148,992.259
2017-07-20,-0.58,0.8734029796130841,-0.058,992.19,998.68,984.62,997.0,1418385,1418385,992.2478
2017-07-21,1.65,0.876518426167032,0.166,993.84,995.11,984.17,989.0,1463322,1463322,990.3402
2017-07-24,4.47,0.88495845410409,0.45,998.31,1006.19,990.2728,994.1,3984532,3984532,996.8493
2017-07-25,-29.28,0.829673438892215,-2.933,969.03,976.73,963.8,970.7,5933602,5933602,969.0241
2017-07-26,-3.7199999999999998,0.8226495230251321,-0.384,965.31,973.95,960.23,972.78,2221625,2221625,966.021
2017-07-27,-12.8,0.798481210364203,-1.326,952.51,969.52,937.06,969.18,3717900,3717900,953.1086
2017-07-28,5.82,0.809470240027219,0.611,958.33,961.79,945.31,947.99,1813794,1813794,955.4312
2017-07-31,-12.83,0.785245282883491,-1.339,945.5,961.1925,941.725,960.0,2293389,2293389,947.074
2017-08-01,1.06,0.787246721275724,0.112,946.56,954.49,944.96,947.81,1332456,1332456,949.1389
2017-08-02,1.08,0.7892859226564901,0.114,947.64,949.1,932.521,948.37,2039418,2039418,941.6822
2017-08-03,-7.34,0.7754269058649881,-0.775,940.3,950.0,939.44,949.1,1123921,1123921,942.7523
2017-08-04,5.49,0.785792846217215,0.584,945.79,947.54,939.795,943.95,1254574,1254574,944.6199
